BioProject	AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner
PRJNA991952	GCF_040195295.1	ASM4019529v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908769	181951	167	WHRI 10068A		University of Exeter
PRJNA991952	GCF_040195275.1	ASM4019527v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908774	182370	178	WHRI 10219C		University of Exeter
PRJNA991952	GCF_040195245.1	ASM4019524v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908772	188878	182	WHRI 10069B		University of Exeter
PRJNA991952	GCF_040195235.1	ASM4019523v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908770	181888	151	WHRI 10068B		University of Exeter
PRJNA991952	GCF_040195215.1	ASM4019521v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN40354515	197271	178	WHRI 10224	incanae	University of Exeter
PRJNA991952	GCF_040195195.1	ASM4019519v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908775	228376	174	WHRI 10219D		University of Exeter
PRJNA991952	GCF_040195175.1	ASM4019517v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN40354517	176460	166	WHRI 10223	incanae	University of Exeter
PRJNA991952	GCF_040195155.1	ASM4019515v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908768	188888	177	WHRI 10067B		University of Exeter
PRJNA991952	GCF_040195135.1	ASM4019513v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908773	172418	172	WHRI 10219A		University of Exeter
PRJNA991952	GCF_040195115.1	ASM4019511v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908753	135136	175	WHRI 10228		University of Exeter
PRJNA991952	GCF_040195095.1	ASM4019509v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908751	172410	178	WHRI 10226		University of Exeter
PRJNA991952	GCF_040195075.1	ASM4019507v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908750	168554	178	WHRI 10221		University of Exeter
PRJNA991952	GCF_040195055.1	ASM4019505v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908754	150557	178	WHRI 10229		University of Exeter
PRJNA991952	GCF_040195035.1	ASM4019503v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908755	150933	184	WHRI 10230		University of Exeter
PRJNA991952	GCF_040195015.1	ASM4019501v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN40354516	162147	171	WHRI 10225	incanae	University of Exeter
PRJNA991952	GCF_040194995.1	ASM4019499v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908779	149400	177	WHRI 10244A		University of Exeter
PRJNA991952	GCF_040194975.1	ASM4019497v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908780	122182	168	WHRI 10245		University of Exeter
PRJNA991952	GCF_040194955.1	ASM4019495v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908756	136133	175	WHRI 10246		University of Exeter
PRJNA991952	GCF_040194935.1	ASM4019493v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908776	160773	175	WHRI 10231A		University of Exeter
PRJNA991952	GCF_040194915.1	ASM4019491v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908757	145851	177	WHRI 10247		University of Exeter
PRJNA991952	GCF_040194895.1	ASM4019489v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908781	129161	170	WHRI 10251A		University of Exeter
PRJNA991952	GCF_040194855.1	ASM4019485v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908763	188889	176	WHRI 10256		University of Exeter
PRJNA991952	GCF_040194875.1	ASM4019487v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908760	121124	176	WHRI 10250		University of Exeter
PRJNA991952	GCF_040194835.1	ASM4019483v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908783	193042	206	WHRI 10255		University of Exeter
PRJNA991952	GCF_040194815.1	ASM4019481v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908759	129161	176	WHRI 10249		University of Exeter
PRJNA991952	GCF_040194775.1	ASM4019477v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908761	198139	181	WHRI 10252		University of Exeter
PRJNA991952	GCF_040194795.1	ASM4019479v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908784	124921	183	WHRI 10257A		University of Exeter
PRJNA991952	GCF_040194745.1	ASM4019474v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908777	135171	176	WHRI 10231B		University of Exeter
PRJNA991952	GCF_040194735.1	ASM4019473v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908762	198301	175	WHRI 10254		University of Exeter
PRJNA991952	GCF_040194715.1	ASM4019471v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908764	124921	181	WHRI 10258		University of Exeter
PRJNA991952	GCF_040194695.1	ASM4019469v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908787	116798	180	WHRI 3875A		University of Exeter
PRJNA991952	GCF_040194675.1	ASM4019467v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908758	128098	177	WHRI 10248		University of Exeter
PRJNA991952	GCF_040194655.1	ASM4019465v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908752	122899	176	WHRI 10227		University of Exeter
PRJNA991952	GCF_040194635.1	ASM4019463v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908785	94426	179	WHRI 2243A		University of Exeter
PRJNA991952	GCF_040194615.1	ASM4019461v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908788	109048	184	WHRI 3892A		University of Exeter
PRJNA991952	GCF_040194595.1	ASM4019459v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908778	162689	176	WHRI 10231C		University of Exeter
PRJNA991952	GCF_040194575.1	ASM4019457v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908782	138618	167	WHRI 10253		University of Exeter
PRJNA991952	GCF_040194555.1	ASM4019455v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908789	119821	157	WHRI 3963		University of Exeter
PRJNA991952	GCF_040194535.1	ASM4019453v1	Xanthomonas campestris pv. armoraciae (g-proteobacteria)	339	SAMN40354514	197217	197	WHRI 8093	armoraciae	University of Exeter
PRJNA991952	GCF_040194515.1	ASM4019451v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908786	124877	182	WHRI 2309A		University of Exeter
PRJNA991952	GCF_040194495.1	ASM4019449v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN40354518	168927	202	WHRI 8482		University of Exeter
PRJNA991952	GCF_040194475.1	ASM4019447v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN40354519	123414	166	WHRI 8835	raphani	University of Exeter
PRJNA991952	GCF_035012945.1	ASM3501294v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318668	135410	221	WHRI 8864		University of Exeter
PRJNA991952	GCF_035012925.1	ASM3501292v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318669	125199	140	WHRI 8865		University of Exeter
PRJNA991952	GCF_035012905.1	ASM3501290v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318667	97809	103	WHRI 8951		University of Exeter
PRJNA991952	GCF_035012885.1	ASM3501288v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318666	126513	140	WHRI 3965		University of Exeter
PRJNA991952	GCF_035012865.1	ASM3501286v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318659	117731	326	WHRI 6503		University of Exeter
PRJNA991952	GCF_035012845.1	ASM3501284v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318657	92043	319	WHRI 8918A		University of Exeter
PRJNA991952	GCF_035012825.1	ASM3501282v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318658	114699	375	WHRI 6495		University of Exeter
PRJNA991952	GCF_035012765.1	ASM3501276v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318664	114210	357	WHRI 6508		University of Exeter
PRJNA991952	GCF_035011085.1	ASM3501108v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318661	111109	227	WHRI 6505		University of Exeter
PRJNA991952	GCF_035011065.1	ASM3501106v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318663	106968	313	WHRI 6507		University of Exeter
PRJNA991952	GCF_035011045.1	ASM3501104v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318660	94012	39	WHRI 6504		University of Exeter
PRJNA991952	GCF_035011025.1	ASM3501102v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN36318665	86812	63	WHRI 8306		University of Exeter
PRJNA689092	GCF_045504475.1	ASM4550447v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198935	4985333	252	0474	campestris	Cornell University
PRJNA689092	GCF_028751505.1	ASM2875150v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198897	5002040	952	54-2	campestris	Cornell University
PRJNA689092	GCF_028751465.1	ASM2875146v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198898	5051489	751	54-3	campestris	Cornell University
PRJNA689092	GCF_028751435.1	ASM2875143v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198899	5020213	647	30-1	campestris	Cornell University
PRJNA689092	GCF_028751395.1	ASM2875139v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198901	4929060	513	40-2	campestris	Cornell University
PRJNA689092	GCF_028751375.1	ASM2875137v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198900	5042530	779	39-3	campestris	Cornell University
PRJNA689092	GCF_028751355.1	ASM2875135v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198902	4944847	676	29-5	campestris	Cornell University
PRJNA689092	GCF_028751335.1	ASM2875133v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198903	4942176	558	29-6	campestris	Cornell University
PRJNA689092	GCF_028751315.1	ASM2875131v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198904	4975238	702	33-1	campestris	Cornell University
PRJNA689092	GCF_028751295.1	ASM2875129v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198905	5024641	662	33-2	campestris	Cornell University
PRJNA689092	GCF_028751275.1	ASM2875127v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198906	5024595	694	33-4	campestris	Cornell University
PRJNA689092	GCF_028751255.1	ASM2875125v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198907	5024665	662	33-5	campestris	Cornell University
PRJNA689092	GCF_028751235.1	ASM2875123v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198908	5020217	604	42-3	campestris	Cornell University
PRJNA689092	GCF_028751215.1	ASM2875121v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198909	5029743	662	66-2	campestris	Cornell University
PRJNA689092	GCF_028750655.1	ASM2875065v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198910	4982561	828	42-1	campestris	Cornell University
PRJNA689092	GCF_028750635.1	ASM2875063v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198912	4982573	624	42-4	campestris	Cornell University
PRJNA689092	GCF_028750615.1	ASM2875061v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198911	4982582	527	42-2	campestris	Cornell University
PRJNA689092	GCF_028750595.1	ASM2875059v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198913	4940857	596	15-1	campestris	Cornell University
PRJNA689092	GCF_028750575.1	ASM2875057v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198914	4939451	597	25-4	campestris	Cornell University
PRJNA689092	GCF_028750555.1	ASM2875055v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198916	4940927	600	27-6	campestris	Cornell University
PRJNA689092	GCF_028750535.1	ASM2875053v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198917	4940640	576	27-9	campestris	Cornell University
PRJNA689092	GCF_028750515.1	ASM2875051v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198915	4939448	535	27-10	campestris	Cornell University
PRJNA689092	GCF_028750455.1	ASM2875045v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198920	5051483	857	55-2	campestris	Cornell University
PRJNA689092	GCF_028750435.1	ASM2875043v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198919	5051497	788	55-1	campestris	Cornell University
PRJNA689092	GCF_028750415.1	ASM2875041v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198918	4940916	561	28-1	campestris	Cornell University
PRJNA689092	GCF_028750395.1	ASM2875039v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198922	5033634	429	10006	campestris	Cornell University
PRJNA689092	GCF_028750375.1	ASM2875037v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198924	5095350	432	11085	campestris	Cornell University
PRJNA689092	GCF_028750355.1	ASM2875035v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198923	5033626	959	10008	campestris	Cornell University
PRJNA689092	GCF_028750335.1	ASM2875033v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198925	4993951	398	10-16		Cornell University
PRJNA689092	GCF_028750275.1	ASM2875027v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198926	5043528	504	16-8	incanae	Cornell University
PRJNA689092	GCF_028750155.1	ASM2875015v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198927	5024247	323	08305	campestris	Cornell University
PRJNA689092	GCF_028750135.1	ASM2875013v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198928	4975753	223	3054		Cornell University
PRJNA689092	GCF_028750115.1	ASM2875011v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198929	5065922	338	5057	incanae	Cornell University
PRJNA689092	GCF_028750095.1	ASM2875009v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198930	4975414	202	4053	incanae	Cornell University
PRJNA689092	GCF_028750075.1	ASM2875007v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198931	5177110	400	11-19		Cornell University
PRJNA689092	GCF_028750055.1	ASM2875005v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198932	5015781	330	8-14	incanae	Cornell University
PRJNA689092	GCF_028750035.1	ASM2875003v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198933	5106871	304	08288	campestris	Cornell University
PRJNA689092	GCF_028750015.1	ASM2875001v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198934	5085233	176	10103	campestris	Cornell University
PRJNA689092	GCF_028749945.1	ASM2874994v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198937	5134330	342	0793	campestris	Cornell University
PRJNA689092	GCF_028749925.1	ASM2874992v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198936	5134501	321	0659	campestris	Cornell University
PRJNA689092	GCF_028749905.1	ASM2874990v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198939	5012081	233	08284	campestris	Cornell University
PRJNA689092	GCF_028749885.1	ASM2874988v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198940	5135440	286	12049	campestris	Cornell University
PRJNA689092	GCF_028749865.1	ASM2874986v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198938	5134324	256	0792	campestris	Cornell University
PRJNA689092	GCF_028749845.1	ASM2874984v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198943	5120965	299	10090	campestris	Cornell University
PRJNA689092	GCF_028749825.1	ASM2874982v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198941	5035393	339	12112	campestris	Cornell University
PRJNA689092	GCF_028749805.1	ASM2874980v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198942	5054599	735	13108G	campestris	Cornell University
PRJNA689092	GCF_028749785.1	ASM2874978v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198944	5110763	304	08290	campestris	Cornell University
PRJNA689092	GCF_028749765.1	ASM2874976v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198945	5114786	195	10108	campestris	Cornell University
PRJNA689092	GCF_028749745.1	ASM2874974v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN17198946	4906199	945	576	raphani	Cornell University
PRJNA689092	GCF_028749725.1	ASM2874972v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN17198947	5089262	724	609	raphani	Cornell University
PRJNA689092	GCF_028749705.1	ASM2874970v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198949	5024671	1030	CFBP12825	campestris	Cornell University
PRJNA689092	GCF_028749685.1	ASM2874968v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN17198948	4928562	739	719	raphani	Cornell University
PRJNA689092	GCF_028749665.1	ASM2874966v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198951	4819628	687	CFBP6690	incanae	Cornell University
PRJNA689092	GCF_028749645.1	ASM2874964v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198950	4951969	772	CFBP1371	incanae	Cornell University
PRJNA689092	GCF_028749625.1	ASM2874962v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198952	5128631	737	CFBP5824		Cornell University
PRJNA689092	GCF_028749605.1	ASM2874960v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198953	5008578	783	CFBP1606	incanae	Cornell University
PRJNA689092	GCF_028749585.1	ASM2874958v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN17198954	5039897	756	5053		Cornell University
PRJNA689092	GCF_028749565.1	ASM2874956v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN17198955	4906217	723	5055	raphani	Cornell University
PRJNA689092	GCF_028749545.1	ASM2874954v1	Xanthomonas campestris pv. campestris (g-proteobacteria)	339	SAMN17198956	4950145	715	CFBP6943	campestris	Cornell University
PRJNA689092	GCF_020008105.1	ASM2000810v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN17198921	4978509	423	18048	incanae	Cornell University
PRJNA185979	GCF_000590315.1	20120327	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN02645670	3800062	1044	CFBP 1606R	incanae	CNRS
PRJNA185977	GCF_000590335.1	20120327	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN02645671	2485103	1127	CFBP 2527R	incanae	CNRS
PRJNA991952	GCF_040194535.2	ASM4019453v2	Xanthomonas campestris pv. armoraciae (g-proteobacteria)	339	SAMN40354514	4978948	300	WHRI 8093	armoraciae	University of Exeter
PRJNA991952	GCF_040194615.2	ASM4019461v2	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908788	5126824	300	WHRI 3892A		University of Exeter
PRJNA991952	GCF_040194835.2	ASM4019483v2	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908783	5009601	300	WHRI 10255		University of Exeter
PRJNA991952	GCF_041520835.1	ASM4152083v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN43286084	182539	90	WHRI 10265	raphani	University of Exeter
PRJNA991952	GCF_041520805.1	ASM4152080v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN43286086	155267	75	WHRI 10268		University of Exeter
PRJNA991952	GCF_041520775.1	ASM4152077v1	Xanthomonas campestris pv. raphani (g-proteobacteria)	339	SAMN43286085	211136	90	WHRI 10266	raphani	University of Exeter
PRJNA991952	GCF_040195375.1	ASM4019537v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908765	124968	174	WHRI 10066A		University of Exeter
PRJNA991952	GCF_040195355.1	ASM4019535v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908766	158263	183	WHRI 10066B		University of Exeter
PRJNA991952	GCF_040195335.1	ASM4019533v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908771	168923	175	WHRI 10069A		University of Exeter
PRJNA991952	GCF_040195315.1	ASM4019531v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908767	156528	183	WHRI 10067A		University of Exeter
PRJNA991952	GCF_040195295.1	ASM4019529v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908769	181951	167	WHRI 10068A		University of Exeter
PRJNA991952	GCF_040195275.1	ASM4019527v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908774	182370	178	WHRI 10219C		University of Exeter
PRJNA991952	GCF_040195245.1	ASM4019524v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908772	188878	182	WHRI 10069B		University of Exeter
PRJNA991952	GCF_040195235.1	ASM4019523v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908770	181888	151	WHRI 10068B		University of Exeter
PRJNA991952	GCF_040195215.1	ASM4019521v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN40354515	197271	178	WHRI 10224	incanae	University of Exeter
PRJNA991952	GCF_040195195.1	ASM4019519v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908775	228376	174	WHRI 10219D		University of Exeter
PRJNA991952	GCF_040195175.1	ASM4019517v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN40354517	176460	166	WHRI 10223	incanae	University of Exeter
PRJNA991952	GCF_040195155.1	ASM4019515v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908768	188888	177	WHRI 10067B		University of Exeter
PRJNA991952	GCF_040195135.1	ASM4019513v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908773	172418	172	WHRI 10219A		University of Exeter
PRJNA991952	GCF_040195115.1	ASM4019511v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908753	135136	175	WHRI 10228		University of Exeter
PRJNA991952	GCF_040195095.1	ASM4019509v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908751	172410	178	WHRI 10226		University of Exeter
PRJNA991952	GCF_040195075.1	ASM4019507v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908750	168554	178	WHRI 10221		University of Exeter
PRJNA991952	GCF_040195055.1	ASM4019505v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908754	150557	178	WHRI 10229		University of Exeter
PRJNA991952	GCF_040195035.1	ASM4019503v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908755	150933	184	WHRI 10230		University of Exeter
PRJNA991952	GCF_040195015.1	ASM4019501v1	Xanthomonas campestris pv. incanae (g-proteobacteria)	339	SAMN40354516	162147	171	WHRI 10225	incanae	University of Exeter
PRJNA991952	GCF_040194995.1	ASM4019499v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908779	149400	177	WHRI 10244A		University of Exeter
PRJNA991952	GCF_040194975.1	ASM4019497v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908780	122182	168	WHRI 10245		University of Exeter
PRJNA991952	GCF_040194955.1	ASM4019495v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908756	136133	175	WHRI 10246		University of Exeter
PRJNA991952	GCF_040194935.1	ASM4019493v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908776	160773	175	WHRI 10231A		University of Exeter
PRJNA991952	GCF_040194915.1	ASM4019491v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908757	145851	177	WHRI 10247		University of Exeter
PRJNA991952	GCF_040194895.1	ASM4019489v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908781	129161	170	WHRI 10251A		University of Exeter
PRJNA991952	GCF_040194855.1	ASM4019485v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908763	188889	176	WHRI 10256		University of Exeter
PRJNA991952	GCF_040194875.1	ASM4019487v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908760	121124	176	WHRI 10250		University of Exeter
PRJNA991952	GCF_040194835.1	ASM4019483v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908783	193042	206	WHRI 10255		University of Exeter
PRJNA991952	GCF_040194815.1	ASM4019481v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908759	129161	176	WHRI 10249		University of Exeter
PRJNA991952	GCF_040194775.1	ASM4019477v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908761	198139	181	WHRI 10252		University of Exeter
PRJNA991952	GCF_040194795.1	ASM4019479v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908784	124921	183	WHRI 10257A		University of Exeter
PRJNA991952	GCF_040194745.1	ASM4019474v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908777	135171	176	WHRI 10231B		University of Exeter
PRJNA991952	GCF_040194735.1	ASM4019473v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908762	198301	175	WHRI 10254		University of Exeter
PRJNA991952	GCF_040194715.1	ASM4019471v1	Xanthomonas campestris (g-proteobacteria)	339	SAMN39908764	124921	181	WHRI 10258		University of Exeter
